gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Vegfb	8.523775532056487	6.536039752227588	4.3450650285029395	1.5042444035594866	0.13251844840107066	0.9999755874573747
Vegfd	1.7808006240801524	2.7212130259944862	4.803853364375266	0.5664646315340593	0.5710779695542252	NA
Veph1	8.91963682156217	2.1340826712450527	2.059080126691381	1.0364252675655652	0.30000378741361583	0.9999755874573747
Vezf1	423.5656926469998	-0.684881834029694	2.0259286153784926	-0.3380582261541044	0.7353193098480266	0.9999755874573747
Vezt	111.03340746851117	-0.9328486390255796	1.4414056618394395	-0.647179807685181	0.5175155782388196	0.9999755874573747
Vgf	0.2243098824225391	1.3153261100755513	4.995526257304044	0.2633008100302527	0.7923187353975206	NA
Vgll4	1243.742000112261	0.2725833333113875	1.2027399450583902	0.22663530419134306	0.8207073377242307	0.9999755874573747
Vhl	602.4532187427208	1.177308497562808	1.2714767413004069	0.9259378951428652	0.3544782562395366	0.9999755874573747
Vil1	12.455420185964897	-7.198415999502913	2.728044849774876	-2.6386721611622117	0.0083231427050315	0.49516725547541474
Vill	29.020731761868262	1.1377880722530396	3.2661103635981843	0.34836179601707323	0.7275684900907324	0.9999755874573747
Vim	1851.8707395796969	1.409238592339084	1.1370923855061492	1.239335176544864	0.2152213968013173	0.9999755874573747
Vinac1	0	NA	NA	NA	NA	NA
Vip	0.23665034374751373	1.3542973832499734	4.992787348466372	0.2712507640979284	0.7861981718213447	NA
Vipas39	632.5203920612419	0.8493648890926544	1.2036726122530323	0.7056444422232176	0.4804092792017464	0.9999755874573747
Vipr1	8.760425875804	6.575754287417684	3.434285180303214	1.9147374030356759	0.055526001016003475	0.9999755874573747
Vipr2	0.46096022617005283	2.326972197001751	4.892269903959514	0.4756426449649553	0.6343289885392394	NA
Virma	847.6662777579727	1.5505414519605418	1.2712560648526348	1.219692471744693	0.22258147651944954	0.9999755874573747
Vit	11.080871037055584	-0.8998029378869566	1.7878885530147244	-0.503276860501017	0.6147696328243148	0.9999755874573747
Vkorc1	115.48317785476303	-2.08811017327757	2.270350900678264	-0.9197301494908783	0.35771379321586777	0.9999755874573747
Vkorc1l1	47.24800450252874	-2.4438256912157823	1.382418311568768	-1.7677903068590934	0.07709596598627279	0.9999755874573747
Vldlr	0.9689402654687297	1.2515165603361065	4.830429617540431	0.2590901140121272	0.7955657123120687	NA
Vma21	162.01815778822802	-1.0942201769598656	1.7212528673633867	-0.6357114621025968	0.52496450417874585	0.9999755874573747
Vmac	110.55738661526935	-0.0976349421094648	1.5363152934263025	-0.06355137029959429	0.9493274542961897	0.9999755874573747
Vmn1r	12.374690267851225	-3.6558683679922446	2.0362171012402492	-1.7954216992704137	0.07258653776946941	0.9999755874573747
Vmn1r1	13.735214425582575	-1.4868371999437866	1.884532296930243	-0.7889688079985305	0.4301302375091563	0.9999755874573747
Vmn1r12	17.49683099097219	-1.0405987019679104	1.5265481627956714	-0.6816677831259456	0.49544904336170037	0.9999755874573747
Vmn1r13	22.420397392558257	-0.9734900299642303	1.4245736871833823	-0.6833553355102192	0.4943823359109515	0.9999755874573747
Vmn1r14	2.936148252309095	-1.1501199382042064	2.6981885764657663	-0.4262563218285862	0.6699210812530688	NA
Vmn1r15	2.8428993801187277	-3.5129557228456916	3.4426739055787934	-1.0204148923756642	0.30753173390265	NA
Vmn1r16	7.59680187936394	0.8144575371505897	2.68335182922875	0.3035224558624805	0.7614917368242544	NA
Vmn1r167	0.659251211967457	0.9163794157007219	4.882443579749072	0.1876886851292234	0.8511207005991621	NA
Vmn1r168	23.4770615809891	-0.29127657197936574	1.5801128385449388	-0.18433909583798483	0.8537474453730356	0.9999755874573747
Vmn1r169	5.626614258823473	-4.560180843309498	2.844064842678213	-1.603402557803585	0.10884580670260649	NA
Vmn1r17	7.3755872520899635	-1.4076444237686558	2.7134953993486985	-0.5187568860837292	0.6039302867547607	NA
Vmn1r171	4.978455915826326	-0.25178083700035153	2.302871264372301	-0.10933343990853958	0.9129380243562872	NA
Vmn1r172	2.133671341824108	-1.9126214804068957	4.710644725819162	-0.40602116944285127	0.684727045989164	NA
Vmn1r173	14.323826391846595	0.7020990792581416	1.71285347045815	0.4099002578839075	0.6818791161989138	0.9999755874573747
Vmn1r174	4.668591089285438	0.2226738417551646	2.2413371235601742	0.09934866085716997	0.9208614437142001	NA
Vmn1r175	9.841253588152547	-0.40799875862625234	1.9885955593940676	-0.20516929986033514	0.8374398543683103	0.9999755874573747
Vmn1r179	23.865303964232478	0.9613814572720458	1.4261630022117373	0.6741034901207688	0.5002455207808776	0.9999755874573747
Vmn1r18	63.375344267047375	0.36193123452899	1.2828135780592853	0.2821386058888935	0.7778372319427422	0.9999755874573747
Vmn1r180	16.06809541998108	-0.26989045970138803	1.7993502599456466	-0.14999328685985833	0.8807699116522444	0.9999755874573747
Vmn1r181	38.65361244565611	0.8748282114645844	1.4412209848791293	0.6070049080904505	0.5438476549414751	0.9999755874573747
Vmn1r183	112.45444880296269	-0.3378958474680386	1.185660710304815	-0.28498527827675996	0.7756554206975064	0.9999755874573747
Vmn1r184	10.45857344794409	0.17777254412460905	1.8924538696097748	0.09393758388481399	0.9251587382025962	0.9999755874573747
Vmn1r185	8.169403707396437	-0.8008770763040821	1.865730833345955	-0.4292564940183838	0.6677365740815904	NA
Vmn1r188	1.8374849505833797	-0.03659648654114809	3.178320071825087	-0.011514411926465696	0.9908130315015532	NA
Vmn1r189	0	NA	NA	NA	NA	NA
Vmn1r19	0.9812807267937043	1.276015768804616	4.829189305546613	0.26422980920193695	0.7916028426284971	NA
Vmn1r191	64.19651759295417	0.4491055989605001	1.2796404808640174	0.35096232549415957	0.7256166126666348	0.9999755874573747
Vmn1r192	0.42126289424475744	-2.338704265296435	4.911176976569212	-0.47620036428216383	0.6339316400039745	NA
Vmn1r193	8.49277119619787	-0.5608556040606609	1.8659671850783348	-0.3005709899647114	0.763741655716154	NA
Vmn1r197	100.53612053758084	-0.38069120769241827	1.2825869072845415	-0.29681513629232925	0.7666076488717596	0.9999755874573747
