gene_name	D30_M1234_CD4512_CX3CR6Neg_S31	D30_M1234_CD4512_Slamf6_S29	D30_M1234_CD451_CX3CR6Neg_S28	D30_M1234_CD451_Slamf6_S26	D30_M567_CD4512_CX3CR6Neg_S24	D30_M567_CD4512_Slamf6_S35	D30_M567_CD451_CX3CR6Neg_S34	D30_M567_CD451_Slamf6_S32
0610010K14Rik	430	517	486	385	1166	204	202	618
0610030E20Rik	713	554	350	351	1	190	398	463
1110004F10Rik	2633	2360	1626	1936	1791	1218	3084	3058
1110038F14Rik	508	735	606	616	103	360	587	1087
1110059E24Rik	184	228	229	301	0	52	88	187
1110059G10Rik	276	250	198	75	297	127	110	336
1110065P20Rik	3	20	42	9	0	12	6	20
1190005I06Rik	6	2	24	0	0	0	0	0
1500009L16Rik	141	7	245	1	0	14	59	9
1500011B03Rik	627	746	731	561	2	318	727	723
1600012H06Rik	272	144	588	293	0	505	525	326
1600014C10Rik	2072	1635	1444	466	1569	633	2303	1790
1600029O15Rik	2	50	2	1	1	3	6	20
1700001C19Rik	0	1	0	0	1	2	0	1
1700001J03Rik	0	0	2	8	0	0	0	0
1700001K19Rik	4	0	6	5	0	0	0	3
1700001O22Rik	103	66	77	112	325	15	158	96
1700001P01Rik	0	22	0	21	0	0	0	0
1700003F12Rik	5	0	8	0	0	2	0	17
1700008O03Rik	0	1	4	0	3	0	0	1
1700010I14Rik	15	114	0	173	0	3	95	162
1700011L22Rik	0	2	0	0	0	0	0	5
1700017B05Rik	1158	166	994	84	660	108	579	184
1700018B08Rik	0	4	0	1	0	0	0	0
1700019A02Rik	2	1	0	2	0	0	6	9
1700019D03Rik	51	469	37	508	0	335	181	752
1700020L24Rik	18	33	18	51	0	0	0	32
1700022I11Rik	2	5	1	1	4	0	2	1
1700025G04Rik	76	121	36	48	133	63	24	135
1700028J19Rik	21	14	1	1	1	0	1	2
1700028K03Rik	0	1	17	2	0	2	0	42
1700029F12Rik	0	3	1	0	1	1	0	8
1700029H14Rik	10	51	0	0	0	10	0	25
1700029J07Rik	44	49	0	8	10	60	2	181
1700030C10Rik	0	2	15	0	0	0	17	0
1700030K09Rik	185	313	35	111	0	148	0	414
1700034J05Rik	2	2	0	0	0	2	0	0
1700037C18Rik	63	128	92	53	7	19	16	49
1700049E17Rik2	0	0	0	1	0	0	1	0
1700056E22Rik	11	20	25	9	0	31	58	9
1700057G04Rik	7	2	7	2	1	2	3	5
1700065I16Rik	3	0	0	6	0	0	0	0
1700066M21Rik	21	193	156	38	1149	52	58	143
1700067K01Rik	0	24	0	0	0	1	0	0
1700088E04Rik	20	7	57	26	27	5	12	33
1700093K21Rik	1	0	1	2	0	1	0	4
1700102P08Rik	15	28	39	19	0	0	0	33
1700109H08Rik	58	112	108	12	5	33	40	63
1700123O20Rik	827	922	995	625	1299	369	1473	1306
1810009A15Rik	901	979	583	712	1546	600	1092	1475
1810014B01Rik	3	6	15	19	0	3	15	6
1810024B03Rik	12	11	9	6	0	0	11	40
1810030O07Rik	1444	1518	1433	981	1422	764	217	1778
1810037I17Rik	1131	940	1145	701	1339	710	2132	1285
1810055G02Rik	85	141	115	42	3	0	367	123
1810062G17Rik	13	21	0	5	0	42	0	18
2010010A06Rik	0	0	0	0	0	0	4	0
2010109A12Rik	5	0	0	0	0	0	0	6
2010315B03Rik	234	420	219	435	92	139	52	566
2200002D01Rik	6	24	14	0	0	19	30	39
2210016L21Rik	418	673	306	332	63	381	463	852
2210017I01Rik	1	1	8	4	3	1	0	4
2210408I21Rik	19	23	56	0	0	0	0	67
2210418O10Rik	15	46	11	15	4	7	1	25
2300009A05Rik	102	121	131	129	0	116	160	79
2310009B15Rik	24	30	31	24	0	15	48	56
2310011J03Rik	760	671	886	532	1	293	605	919
2310022A10Rik	527	572	451	361	1218	225	232	620
2310022B05Rik	2	46	0	0	0	1	0	17
2310033P09Rik	667	734	633	469	2021	221	716	840
2310039H08Rik	156	204	264	103	0	92	191	304
2310040G07Rik	0	0	3	0	0	0	0	1
2310057M21Rik	329	94	284	217	44	187	134	386
2310061I04Rik	180	264	53	155	0	179	279	527
2410002F23Rik	1139	2590	1586	1797	76	748	325	1923
2410004B18Rik	493	460	422	263	520	262	494	506
2410004P03Rik	19	35	8	38	2	7	14	53
2410039M03Rik	148	476	295	395	63	152	78	290
2510002D24Rik	761	918	614	763	35	233	340	824
2510009E07Rik	0	37	0	108	0	0	0	47
2510039O18Rik	459	348	441	132	4	211	452	658
2610005L07Rik	408	770	644	649	786	319	351	1025
2610008E11Rik	269	414	407	318	4	65	196	476
2610021A01Rik	336	438	338	177	693	205	17	355
2610024D14Rik	12	38	33	13	0	10	0	20
2610042L04Rik	5	2	19	0	0	5	38	28
2610318N02Rik	105	66	8	0	1	21	286	165
2700049A03Rik	381	332	128	175	160	202	303	248
2700062C07Rik	329	427	428	138	0	145	509	256
2700097O09Rik	207	311	318	128	23	99	232	217
2700099C18Rik	109	26	68	0	0	24	0	7
2810004N23Rik	395	774	227	451	1345	451	105	830
2810021J22Rik	229	262	174	142	3	69	197	259
2810025M15Rik	18	14	12	0	0	15	65	0
2810039B14Rik	132	33	47	0	0	0	55	75
2810047C21Rik1	48	36	96	8	0	4	36	59
2810408A11Rik	0	15	1	0	0	0	5	18
2810459M11Rik	3	5	0	0	0	1	0	1
2900026A02Rik	1023	109	1719	200	2478	107	1266	149
3000002C10Rik	35	11	31	3	0	36	3	0
3110009E18Rik	59	60	71	48	14	53	111	101
3110040N11Rik	308	484	335	326	495	144	261	481
3110053B16Rik	0	5	0	10	0	0	30	0
3110082I17Rik	2	85	7	29	23	50	0	63
3300002I08Rik	10	17	76	33	2	0	14	40
4632415L05Rik	57	87	32	38	0	102	57	74
4833420G17Rik	1661	2528	1822	1308	2280	1243	905	2485
4833439L19Rik	1564	1360	1200	521	48	884	1023	2126
4921507P07Rik	0	20	35	1	0	0	0	4
4921509C19Rik	0	0	2	0	4	0	0	0
4921524J17Rik	446	308	363	316	1207	174	489	529
4930432E11Rik	2	1	2	0	0	2	63	4
4930444P10Rik	4	10	21	9	14	6	9	10
4930447C04Rik	7	23	11	9	20	10	18	26
4930453N24Rik	799	708	565	405	505	289	958	710
4930469K13Rik	20	16	26	31	0	0	1	16
4930474N05Rik	16	25	14	20	4	23	16	21
4930486L24Rik	0	66	0	28	626	0	44	0
4930503L19Rik	821	625	746	536	7	452	175	632
4930512M02Rik	12	10	9	6	3	6	10	12
4930519G04Rik	5	10	13	10	2	9	3	15
4930522L14Rik	224	319	250	34	320	22	269	308
4930523C07Rik	1620	2536	1870	2149	966	831	1534	1984
4930526A20Rik	14	10	0	0	0	0	0	0
4930529C04Rik	5	0	3	2	2	1	0	0
4930544D05Rik	14	0	0	0	0	0	79	0
4930550C14Rik	0	2	0	0	0	5	0	17
4930562C15Rik	2	4	3	16	0	1	1	1
4930563E22Rik	1	25	83	1	0	0	1	44
4930579G24Rik	293	305	294	320	1073	122	338	219
4930590J08Rik	3	10	7	4	4	1	1	1
4931406B18Rik	9	8	7	5	2	2	3	5
4931406C07Rik	56	161	65	115	115	63	93	68
4931414P19Rik	46	39	44	6	1	6	1	39
4931428L18Rik	16	11	17	14	43	4	7	12
4931429L15Rik	3	2	12	5	27	0	2	10
4932414N04Rik	76	84	78	45	86	70	47	132
4932438H23Rik	7	0	33	21	0	0	0	0
4933407L21Rik	8	7	45	2	5	0	0	2
4933424G06Rik	7	4	51	6	0	0	0	0
4933427D14Rik	323	459	448	302	0	194	222	837
4933430I17Rik	1	2	0	64	0	23	73	14
4933434E20Rik	6467	7819	3376	3858	14170	4952	6117	9975
5031439G07Rik	27	65	0	0	3	225	0	136
5730409E04Rik	0	10	6	75	1	0	0	10
5730455P16Rik	259	368	89	130	222	3	92	357
5730480H06Rik	150	196	54	86	10	71	38	237
5730507C01Rik	7	1	6	5	27	7	5	29
5830417I10Rik	148	226	326	269	0	103	71	272
6030458C11Rik	586	743	595	716	932	383	420	760
6030468B19Rik	4	2	4	3	0	3	0	1
6330403K07Rik	79	257	90	108	0	98	229	249
6330549D23Rik	1	18	0	1	0	42	0	17
6430548M08Rik	0	1	0	16	0	0	0	1
6430550D23Rik	26	5	45	30	0	2	8	70
6430571L13Rik	0	0	0	0	1	0	0	1
6820431F20Rik	65	67	45	88	27	42	14	91
7530416G11Rik	0	3	2	2	2	0	1	1
9030624G23Rik	19	33	7	13	22	27	3	23
9130008F23Rik	44	8	97	0	0	31	0	0
9130019O22Rik	56	60	185	13	1	0	326	78
9130023H24Rik	500	353	510	104	0	182	342	297
9130401M01Rik	172	330	339	248	779	194	476	488
9330159F19Rik	13	14	25	29	25	1	4	12
9330182O14Rik	5	5	0	2	0	0	3	0
9430015G10Rik	298	894	392	578	568	433	193	791
9430038I01Rik	86	116	44	75	5	12	14	131
9530050K03Rik	7	1	0	2	0	0	0	0
9530068E07Rik	1971	2267	1462	1347	742	1093	1554	2465
9830107B12Rik	4	3	9	3	0	0	1	11
9930012K11Rik	125	30	227	0	0	11	132	148
9930021J03Rik	189	222	180	57	0	24	85	182
9930022D16Rik	0	2	13	13	0	3	0	10
9930111J21Rik1	891	1801	586	1243	1113	326	67	1597
9930111J21Rik2	1472	2231	1312	960	2214	1346	947	2239
a	2	1	0	0	0	4	0	0
A030005L19Rik	12	0	7	23	0	0	70	0
A130010J15Rik	73	87	35	55	166	141	79	93
A2ml1	6	2	1	1	1	1	1	8
A430005L14Rik	477	563	304	356	604	285	614	755
A430033K04Rik	188	118	296	55	2	104	26	377
A4galt	2	2	1	1	1	1	0	4
A530064D06Rik	37	56	52	38	12	13	13	38
A630001G21Rik	468	1085	1007	708	185	306	668	1266
A630073D07Rik	7	25	36	24	50	4	21	20
A630089N07Rik	262	258	223	123	263	124	70	414
A830018L16Rik	9	18	40	17	36	14	14	29
A930007A09Rik	8	96	58	5	0	25	0	4
AA413626	0	15	0	0	0	0	0	11
AA414768	21	24	72	0	0	0	42	26
AA467197	18	0	19	3	0	23	31	1
AA986860	0	0	6	0	1	0	0	0
Aaas	988	787	1059	221	0	294	1033	1215
Aacs	126	414	277	323	623	114	3	377
Aadacl2fm1	0	1	0	3	1	0	0	4
Aagab	961	1455	1041	674	1794	593	798	1940
Aak1	1824	1614	2220	1642	1638	1138	1150	1849
Aamdc	167	485	242	178	0	134	389	428
Aamp	3312	3815	2293	2027	2249	1530	2167	4225
Aanat	8	0	6	2	0	0	0	0
Aar2	721	545	1083	331	1	154	453	651
Aars	1260	1742	1795	826	154	968	583	1871
Aars2	110	94	354	231	0	135	147	256
Aarsd1	338	311	336	253	100	187	558	234
Aasdh	240	499	179	374	2052	328	63	876
Aasdhppt	586	686	458	531	1750	231	543	958
Aatf	593	930	552	715	682	653	747	1320
AB124611	168	1146	177	670	0	291	0	958
Abat	1	0	0	5	0	0	0	3
Abca1	3	0	0	20	0	81	0	0
Abca12	24	26	29	42	13	10	15	38
Abca13	1	0	2	0	0	1	1	5
Abca16	0	1	0	0	0	0	2	0
Abca17	8	0	1	0	0	0	0	0
Abca2	1658	2137	1772	1047	892	773	775	1463
Abca3	223	758	356	211	11	138	94	446
Abca4	6	1	3	3	0	4	0	4
Abca5	1	30	4	8	7	0	0	3
Abca7	1181	1400	1831	1153	436	252	662	1120
Abca8b	0	7	10	8	0	0	1	8
Abcb10	84	253	9	192	0	157	26	94
Abcb1a	2357	1187	1905	574	733	503	461	1451
Abcb1b	344	588	303	525	2	162	112	465
Abcb4	15	17	4	16	16	2	22	20
Abcb6	31	155	50	0	0	0	3	96
Abcb7	158	251	179	99	6	106	41	158
Abcb8	149	126	296	157	1549	45	149	176
Abcb9	3809	712	5933	786	2365	392	5990	799
Abcc1	377	949	813	851	0	316	165	951
Abcc10	198	232	173	161	0	73	25	147
Abcc2	4	11	11	9	3	3	1	3
Abcc3	0	0	1	2	0	0	0	4
Abcc4	311	566	370	563	0	203	184	414
Abcc5	711	881	604	611	1607	266	339	898
Abcc9	26	23	43	13	2	13	41	23
Abcd1	628	634	273	550	941	285	124	366
Abcd2	7	14	16	6	4	2	19	23
Abcd3	213	436	96	361	79	140	248	931
Abcd4	238	375	319	248	85	344	123	388
Abce1	862	2053	732	953	2087	582	92	1331
Abcf1	1939	2185	2277	2115	2245	1125	958	2789
Abcf2	1761	2522	1143	1507	611	1484	748	2561
Abcf3	1258	2449	1910	795	114	986	2055	2115
Abcg1	12763	11369	10275	5203	22304	5202	15635	13640
Abcg2	19	86	74	23	95	4	50	157
Abcg3	511	361	309	132	1155	187	109	351
Abhd1	36	81	5	39	969	38	77	96
Abhd10	411	581	273	308	0	286	191	805
Abhd11	249	307	247	176	2	166	257	309
Abhd12	736	795	491	745	466	470	1086	920
Abhd12b	4	9	9	2	6	8	0	19
Abhd13	163	177	85	100	1	228	60	237
Abhd14a	27	110	32	36	0	0	0	139
Abhd14b	109	189	55	91	760	54	39	99
Abhd15	3	7	8	0	0	0	0	0
Abhd16a	914	1104	1200	595	1133	333	856	1082
Abhd17a	201	199	236	164	148	84	133	141
Abhd17b	72	69	69	32	0	55	27	55
Abhd17c	12	44	49	81	1	65	0	27
Abhd18	237	424	254	132	84	104	167	300
Abhd2	1333	1884	1344	1224	1476	1193	924	2627
Abhd3	14	10	19	5	1	5	9	9
Abhd4	344	1071	436	401	3	404	227	757
Abhd5	613	650	418	358	32	131	274	744
Abhd6	306	318	611	302	0	437	654	549
Abhd8	1321	2008	960	1419	2092	770	1214	2361
Abi1	1743	2503	1841	1461	3199	789	568	2720
Abi2	191	388	132	325	1	191	190	379
Abi3	858	171	1321	178	1392	123	824	122
Abi3bp	0	21	1	20	0	0	0	9
Abitram	200	597	227	274	8	208	101	500
Abl1	389	825	618	569	152	243	289	592
Abl2	133	321	29	167	1	67	31	179
Ablim1	4728	8538	3965	6294	3822	2424	1921	7507
Ablim2	34	37	0	0	0	0	0	94
Abr	2239	1790	2319	1285	3580	867	578	2025
Abra	8	29	17	18	19	14	3	16
Abracl	986	640	987	606	1197	573	1192	864
Abraxas1	324	162	12	182	3	134	273	381
Abraxas2	950	1006	968	520	3918	460	279	1202
Abt1	570	692	720	350	182	104	908	579
Abtb1	943	899	747	551	0	277	566	1210
Abtb2	1558	1793	1639	1433	2490	667	1028	2026
Abtb3	569	661	347	522	2115	254	194	550
Acaa1a	1407	2406	1622	1654	2876	748	2086	2501
Acaa1b	0	4	2	0	0	23	0	1
Acaa2	777	654	1151	445	2127	298	647	924
Acaca	176	459	416	336	54	192	177	345
Acacb	31	29	50	59	0	17	54	46
Acad10	44	223	55	221	0	59	278	188
Acad11	122	151	114	3	5	97	5	461
Acad12	46	136	41	30	7	74	154	128
Acad8	459	742	335	190	1240	329	279	982
Acad9	597	959	773	924	387	430	269	1192
Acadl	1304	1018	1622	608	1105	779	1875	1261
Acadm	415	800	395	158	385	416	655	754
Acads	182	253	213	134	265	54	134	275
Acadsb	255	520	549	444	1268	328	91	679
Acadvl	1085	1562	1318	960	1394	857	2078	1935
Acap1	6155	6817	6787	4530	4695	2618	3350	8631
Acap2	572	519	164	173	197	215	162	791
Acap3	395	369	240	215	0	281	196	265
Acat1	580	1198	408	485	907	533	626	1035
Acat2	486	532	1050	292	2616	336	314	864
Acat3	18	2	12	0	0	41	0	7
Acbd3	248	446	279	214	47	80	329	429
Acbd4	312	156	204	356	0	38	390	358
Acbd5	1145	1185	1016	750	1564	610	274	1594
Acbd6	271	499	304	282	112	222	225	444
Accs	212	359	340	295	679	105	724	93
Acd	1010	1049	1087	737	871	434	1100	1168
Acer1	6	24	12	8	5	6	16	8
Acer2	72	126	51	9	41	119	76	40
Acer3	228	349	352	251	92	80	434	432
Ache	1	1	3	0	0	0	1	1
Acin1	578	800	863	537	1648	264	483	1119
Ackr3	0	0	0	0	1	3	1	3
Ackr4	4	25	7	11	13	12	5	15
Acly	3631	4822	2977	3208	3125	2251	581	5595
Acmsd	23	35	31	43	44	11	4	40
Acnat1	36	31	32	10	31	8	10	27
Aco1	668	879	444	362	0	108	114	622
Aco2	2119	2729	2993	1693	2246	996	1469	2891
Acot1	43	12	45	2	0	3	2	5
Acot11	43	127	38	194	19	25	106	204
Acot13	209	341	306	259	311	174	316	541
Acot2	2209	2516	1731	1480	3164	1235	1722	1838
Acot4	100	168	128	121	72	58	74	159
Acot6	4	8	19	5	0	33	10	83
Acot7	2939	2629	3924	1258	2425	1215	4570	2593
Acot8	310	305	435	107	0	208	210	418
Acot9	847	1006	1104	885	166	276	1106	1336
Acox1	157	548	188	163	0	157	186	310
Acox2	6	2	2	0	0	0	0	0
Acox3	552	738	596	319	2733	114	448	709
Acoxl	349	9	562	1	0	0	456	0
Acp1	903	1098	765	643	1	604	2097	1050
Acp2	395	494	203	84	35	283	497	706
Acp3	51	186	38	20	25	27	71	83
Acp4	0	2	0	0	0	0	0	4
Acp5	2426	3993	2495	2674	6282	2312	3422	4447
Acp6	296	614	484	454	139	312	223	882
Acr	0	2	1	0	0	0	0	0
Acrbp	122	159	208	121	1007	127	385	324
Acrv1	6	8	5	1	12	1	3	2
Acsbg1	1376	649	1152	813	332	134	851	480
Acsbg2	8	27	29	13	5	17	7	11
Acsbg3	8	42	17	43	48	5	1	47
Acsf2	21	45	65	35	0	0	62	47
Acsf3	57	121	102	123	0	36	75	30
Acsl1	130	257	58	207	1467	58	63	487
Acsl4	813	744	563	469	766	622	657	1080
Acsl5	2580	3281	3009	1822	6248	1274	1852	3911
Acsm2	15	36	37	15	34	4	6	40
Acss1	803	2101	179	1263	3259	650	198	2134
Acss2	317	569	221	407	564	547	47	466
Acss3	37	58	20	47	56	21	28	68
Acta1	0	1	2	0	0	2	1	0
Acta2	0	7	0	41	0	0	0	7
Actb	224979	208108	154481	140989	436310	140709	163074	251333
Actg	7	5	3	7	4	1	9	6
Actg1	22753	21214	22739	16703	26318	10126	24285	24229
Actg2	0	0	1	0	1	0	0	1
Actl6a	1288	1614	1184	766	1344	626	1371	1818
Actl6b	0	4	5	4	2	3	3	2
Actmap	176	226	247	265	379	161	156	445
Actn1	45	87	96	62	25	32	2	179
Actn2	691	117	900	25	743	88	1352	109
Actn4	3672	3598	3728	2439	6913	1953	567	4130
Actr10	701	794	664	401	2688	350	970	827
Actr1a	1507	2228	1878	1061	2968	599	1529	2256
Actr1b	1839	1696	2271	1501	2646	274	798	1847
Actr2	6647	7264	6550	5178	9237	4741	7917	9195
Actr3	15285	12615	15477	8927	24161	6688	6911	15976
Actr3b	6	27	0	44	0	9	0	0
Actr5	145	233	253	120	780	11	127	88
Actr6	266	332	217	130	0	238	280	558
Actr8	1135	1478	1192	1434	248	725	1959	1676
Actrt3	87	20	25	12	0	0	43	0
Acvr1b	22	15	1	2	0	47	3	1
Acvr1c	1	0	4	0	5	0	3	2
Acvr2a	43	11	0	8	0	35	0	18
Acvr2b	2	0	36	0	0	2	0	0
Acy1	63	147	57	150	1	72	167	170
Acyp1	82	156	95	34	1	32	266	203
Acyp2	7	2	25	0	0	0	0	21
Ada	41	76	0	2	970	112	0	25
Adal	154	198	126	183	0	123	104	212
Adam10	2465	2552	1931	1905	5515	1376	1704	2783
Adam11	0	10	9	3	3	4	2	5
Adam12	11	4	10	0	3	5	7	5
Adam15	37	278	7	162	1238	37	23	184
Adam17	1099	1492	1862	982	2451	573	303	1398
Adam19	5456	3412	5012	1991	4816	1281	3242	3584
Adam1a	23	20	95	85	0	18	0	33
Adam22	37	75	21	38	393	19	3	19
Adam23	5	4	8	2	37	4	0	6
Adam28	14	46	22	14	6	36	23	43
Adam33	2	8	2	0	0	0	0	1
Adam4	11	81	130	55	876	63	3	29
Adam7	0	5	1	0	0	0	0	0
Adam8	1549	192	1329	7	4326	69	1428	193
Adam9	59	129	388	123	0	73	8	174
Adamts10	1443	2089	1501	1496	63	644	626	1363
Adamts12	3	11	8	29	0	5	4	6
Adamts14	163	28	153	0	0	0	121	1
Adamts15	2	9	21	11	0	1	0	1
Adamts17	10	14	20	4	8	7	30	35
Adamts18	0	4	4	8	16	0	0	0
Adamts19	9	12	16	8	0	10	11	16
Adamts2	48	58	79	27	127	25	24	48
Adamts20	0	0	2	0	0	0	0	3
Adamts4	19	1	1	0	2	1	3	0
Adamts5	0	0	1	0	0	0	0	1
Adamts6	301	441	284	482	41	106	83	268
Adamts7	1	7	13	0	0	1	0	5
Adamts9	8	8	6	20	13	6	7	9
Adamtsl1	0	0	0	22	1	0	0	0
Adamtsl2	0	1	2	0	0	0	0	36
Adamtsl4	9	25	37	17	17	11	29	21
Adamtsl5	0	1	1	1	0	1	0	1
Adap1	533	189	374	66	0	0	334	198
Adap2	0	22	2	0	0	0	0	0
Adar	1064	2416	1840	1889	827	1074	614	1988
Adarb1	16	10	4	4	0	0	0	23
Adarb2	15	26	6	13	14	7	4	12
Adat1	81	140	260	83	690	83	12	165
Adat2	28	36	24	0	0	37	83	23
Adat3	14	45	53	1	0	0	0	27
Adck1	380	630	702	243	1	240	297	654
Adck2	560	571	312	512	719	183	280	761
Adck5	303	511	217	430	0	293	94	460
Adcy1	0	33	0	0	1	0	0	0
Adcy10	7	30	10	11	1	1	1	8
Adcy3	482	699	373	417	1013	185	444	841
Adcy4	4	9	6	19	0	0	6	5
Adcy5	1	2	0	0	3	0	0	12
Adcy6	15	32	21	27	14	15	1	12
Adcy7	4473	4089	4852	1924	6664	1683	2447	4688
Adcy8	6	5	6	1	6	7	10	5
Adcyap1r1	20	27	35	12	12	8	25	41
Add1	1303	933	1022	394	5100	544	665	485
Add2	0	0	0	0	2	0	201	0
Add3	1091	2144	1061	1126	160	730	216	1138
Adgb	0	2	0	1	0	0	0	0
Adgra3	7	5	9	15	0	4	2	8
Adgrb2	22	1	18	0	0	0	0	8
Adgrb3	5	4	6	0	2	0	4	1
Adgrd1	0	19	19	0	5	61	3	54
Adgre1	41	2	0	0	0	0	0	1
Adgre4	15	39	0	0	0	0	0	0
Adgre5	4252	2679	5174	2354	12393	1413	3531	3550
Adgrf3	0	0	0	3	0	0	0	3
Adgrf5	3	3	1	4	0	3	1	3
Adgrg1	3563	13	4196	46	2128	102	1656	13
Adgrg2	2	2	1	1	2	0	0	1
Adgrg3	14	25	9	29	2	0	5	18
Adgrg4	2	0	5	5	0	0	0	0
Adgrg5	382	285	0	0	0	114	103	43
Adgrg6	0	1	0	0	0	0	1	1
Adgrl1	203	191	348	89	59	30	311	157
Adgrl2	7	4	37	2	13	0	1	3
Adgrl3	17	74	39	50	27	11	27	74
Adgrl4	1	0	1	2	8	0	0	3
Adgrv1	43	62	65	30	61	17	33	51
Adh4	0	12	9	14	0	6	0	14
Adh5	869	1240	655	910	1807	800	1666	1974
Adh6b	23	33	19	10	2	16	34	23
Adhfe1	23	3	7	0	0	0	0	0
Adi1	296	528	259	329	1500	399	620	815
Adipor1	3756	3013	1227	2033	1892	1545	3390	4029
Adipor2	228	451	114	95	0	215	288	566
Adissp	232	249	185	192	1	48	114	225
Adk	141	600	15	464	5	342	13	525
Adm	2	15	11	11	0	3	0	31
Adnp2	79	243	205	303	0	77	2	351
Ado	1905	2371	1000	865	101	1723	717	3831
Adora1	0	8	4	4	0	0	0	7
Adora2a	1445	755	896	649	0	370	752	1190
Adora3	15	17	22	15	11	13	30	31
Adpgk	762	548	438	396	106	225	173	786
Adprh	1853	2181	1820	1263	3726	1050	1640	2490
Adprm	826	1071	645	451	422	482	849	1206
Adprs	850	1011	450	488	1	488	935	1014
Adra1a	1	2	3	2	3	0	0	3
Adra1b	4	1	0	1	0	0	1	4
Adra2b	17	9	4	1	15	1	10	2
Adrb1	75	75	100	42	64	50	87	85
Adrb2	870	931	744	1041	0	531	488	1051
Adrb3	0	0	4	0	9	9	1	9
Adrm1	1605	2062	1816	1483	1573	911	1733	2436
Adrm1b	0	9	4	0	0	4	0	0
Adsl	1292	2464	1152	1255	5417	1205	1343	2382
Adss	2137	2451	1676	2719	1160	921	1078	2803
Adssl1	63	101	0	44	0	32	0	34
Adtrp	4	0	0	0	0	0	0	1
Aebp1	4	22	0	0	0	0	0	13
Aebp2	503	636	445	548	127	274	464	639
Aen	1022	925	1011	459	45	610	485	934
Afap1	6	139	19	12	2	117	9	323
Afap1l2	0	0	4	7	0	0	0	0
Afdn	13	53	0	20	1	0	0	51
Aff1	602	918	895	614	3	433	296	544
Aff2	1	4	7	1	0	1	5	1
Aff3	23	465	26	192	1	179	0	327
Aff4	533	558	691	748	983	107	81	490
Afg1l	49	204	71	230	0	3	129	135
Afg2a	800	547	599	406	729	529	47	611
Afg2b	277	213	10	87	821	163	263	271
Afg3l1	607	719	1253	308	55	293	494	730
Afg3l2	1732	1724	1767	1227	163	858	626	2297
Afm	20	0	2	1	0	0	66	5
Afmid	876	615	1281	479	450	116	893	673
Afp	158	95	179	0	490	0	54	267
Aftph	1255	2122	1022	1105	1	831	259	2351
Aga	367	587	581	227	0	285	305	898
Agap1	0	0	3	5	0	0	1	2
Agap2	402	376	400	243	629	193	563	395
Agap3	239	281	201	56	0	178	41	350
Agbl1	5	8	0	1	0	0	0	0
Agbl2	11	17	18	2	2	9	14	7
Agbl3	7	26	40	92	22	14	2	20
Agbl4	3	3	5	4	0	0	1	2
Agbl5	137	127	58	56	0	46	56	85
Ager	1	1	37	1	0	6	50	14
Agfg1	1403	722	971	318	1137	643	879	557
Agfg2	493	210	360	207	1021	115	65	287
Aggf1	1329	927	226	499	2006	537	543	1341
Agk	629	697	447	427	677	540	282	829
Agl	105	172	54	109	1510	86	135	156
Agmo	6	10	9	8	5	2	1	10
Ago1	234	323	171	192	1	286	142	386
Ago2	557	1046	774	654	563	275	333	807
Ago3	397	245	572	244	0	102	323	300
Ago4	18	27	46	0	0	12	2	29
Agpat1	295	321	273	179	151	132	296	340
Agpat2	195	175	249	36	427	58	456	91
Agpat3	2980	2116	3311	1461	3513	1025	3583	2854
Agpat4	580	474	824	397	531	185	709	586
Agpat5	227	493	153	154	6	226	114	390
Agps	313	389	269	277	28	187	158	276
Agrn	115	144	143	77	6	60	46	145
Agrp	8	3	1	2	0	0	0	3
Agtpbp1	272	465	401	227	12	185	36	235
Agtr1a	0	5	0	0	15	0	1	1
Agtr1b	0	0	2	0	1	0	0	0
Agtrap	258	333	191	260	27	214	297	564
Ahctf1	850	1073	524	814	296	916	427	949
Ahcy	307	538	326	758	0	183	324	577
Ahcyl	22	93	0	40	0	59	74	45
Ahcyl1	645	341	587	42	65	168	244	267
Ahcyl2	513	838	472	402	11	136	266	1225
Ahdc1	129	171	109	46	3	77	124	238
Ahi1	153	561	220	193	1	205	52	594
Ahnak	3748	3741	3430	2408	3321	1838	1511	3485
Ahnak2	0	0	1	0	0	17	2	0
Ahr	32	6	186	94	0	0	46	10
Ahrr	26	34	27	18	38	11	19	29
Ahsa1	1728	2047	1567	835	2729	1224	2066	2910
Ahsa2	614	919	725	785	1892	457	820	1002
Ahsp	11	1	0	0	0	0	185	0
AI182371	3	49	3	3	4	4	0	13
AI467606	1527	2786	1480	1191	2455	1277	2096	3358
AI593442	0	2	0	2	4	1	1	2
AI597479	324	445	530	311	1	208	19	290
AI837181	292	279	343	157	0	49	85	278
AI854703	27	57	54	13	0	0	0	52
AI987944	451	680	443	509	4	382	262	782
Aicda	2	196	1	307	1	0	4	230
Aida	206	400	421	26	1	127	154	380
Aif1	32	7	33	0	0	0	0	18
Aifm1	705	606	484	218	0	344	762	715
Aifm2	144	28	0	59	0	0	0	72
Aig1	526	429	360	284	216	167	312	403
Aim2	534	757	807	1010	21	164	285	539
Aimp1	546	551	514	511	626	385	549	492
Aimp2	184	410	224	184	1143	221	272	650
Aip	2138	2874	1729	1293	2132	1385	2686	3221
Aipl1	11	52	5	5	3	17	12	6
Aire	1	6	8	0	0	48	0	1
Airim	193	214	62	95	22	41	95	224
Ajm1	11	19	15	4	0	0	0	7
