gene_name	D30_M1234_CD4512_CX3CR6Neg_S31	D30_M1234_CD4512_Slamf6_S29	D30_M1234_CD451_CX3CR6Neg_S28	D30_M1234_CD451_Slamf6_S26	D30_M567_CD4512_CX3CR6Neg_S24	D30_M567_CD4512_Slamf6_S35	D30_M567_CD451_CX3CR6Neg_S34	D30_M567_CD451_Slamf6_S32
Cyria	1194	1664	1136	1162	1160	639	1013	1843
Cyrib	3603	2977	1353	2097	6601	2189	2392	4460
Cysltr1	3	7	7	1	1	0	3	5
Cysltr2	386	222	576	143	731	134	488	307
Cystm1	12	43	36	10	3	9	8	7
Cyth1	1473	2044	1140	1368	1185	611	384	2315
Cyth2	719	1133	516	570	23	454	486	1227
Cyth3	517	1012	579	334	1	338	177	1252
Cyth4	4449	3903	4237	2671	2676	1609	3014	3512
Cytip	2733	3184	3715	1702	5013	1235	1654	1927
Czib	485	930	543	559	1672	709	813	1213
D030056L22Rik	135	76	13	51	0	235	66	133
D11Wsu47e	340	382	264	349	0	282	412	628
D130040H23Rik	414	645	444	367	626	369	245	811
D16Ertd472e	2093	923	1967	605	4455	403	1833	908
D17H6S53E	1168	1019	915	440	2132	640	1512	1705
D2hgdh	346	511	351	851	0	309	18	757
D3Ertd751e	184	321	375	175	0	141	161	354
D430019H16Rik	6	18	13	5	5	1	9	13
D430041D05Rik	2	6	2	19	2	2	92	6
D5Ertd579e	758	458	687	483	474	295	659	630
D630023F18Rik	7	5	43	11	2	4	6	14
D630033A02Rik	2	1	3	1	104	0	1	0
D630039A03Rik	110	113	110	48	895	0	44	69
D630045J12Rik	44	33	37	36	5	26	30	69
D6Wsu163e	228	317	218	211	19	160	214	611
D7Ertd443e	2	3	3	1	0	2	1	0
D830030K20Rik	6	2	2	0	0	3	0	0
D8Ertd738e	2221	2385	2825	1213	3550	975	3106	2683
D930020B18Rik	6	7	5	3	14	2	0	3
Daam1	11	47	5	34	0	17	1	10
Daam2	37	71	52	37	125	23	42	66
Dab2ip	0	2	1	0	0	0	1	4
Dach1	1	0	0	0	1	0	0	0
Dach2	5	3	20	10	0	1	1	9
Dad1	2855	3518	3140	2308	2711	1924	3991	4357
Dag1	23	113	0	153	1	102	1	135
Dagla	16	0	49	0	0	0	0	0
Daglb	432	245	381	515	1061	128	216	499
Dalrd3	580	713	600	404	0	420	433	1155
Dand5	168	191	148	136	0	50	345	242
Dao	0	0	1	3	0	1	9	0
Dap	1088	1302	806	1230	2089	665	1626	1876
Dap3	405	841	257	466	832	417	227	1200
Dapk1	4	25	30	7	9	0	7	32
Dapk2	3117	669	2899	386	4349	391	4279	766
Dapk3	20	28	12	10	0	58	79	26
Dapl1	63	92	0	82	0	77	0	83
Dapp1	780	894	870	646	0	492	471	1009
Dars	1690	2322	1520	1049	1115	602	851	3444
Dars2	363	586	472	247	955	174	88	757
Daxx	1626	3355	1180	1443	3405	1255	955	3653
Dazap1	113	105	285	57	178	24	150	156
Dazap2	11627	13029	9120	7579	19292	8195	12119	13638
Dbf4	332	402	185	261	71	141	122	256
Dbi	808	984	669	451	936	438	1036	1061
Dbil5	9	0	0	0	0	0	0	1
Dbn1	0	14	0	3	0	0	0	0
Dbndd2	7	22	98	46	0	2	197	110
Dbnl	4236	4355	4601	2176	5417	1734	4121	4090
Dbp	32	34	74	33	0	96	0	82
Dbr1	681	967	836	415	1042	186	426	1078
Dbt	171	182	63	140	0	336	35	280
Dcaf1	286	408	345	249	1299	97	86	540
Dcaf10	105	150	99	74	44	110	96	305
Dcaf11	1990	2338	1802	1687	2112	766	1215	2449
Dcaf12	1139	1226	1646	802	1620	408	704	1362
Dcaf12l2	0	1	1	0	5	1	2	7
Dcaf13	1341	1871	1655	711	322	624	1000	1742
Dcaf15	589	931	664	226	152	414	538	777
Dcaf17	519	472	314	246	131	118	221	650
Dcaf4	247	646	598	317	1	204	497	834
Dcaf5	799	991	836	420	21	204	643	1257
