sample	day	mice	genotype	exh_subset	sample_num
D30_M1234_CD4512_CX3CR6Neg_S31	D30	M1234	CD4512	CX3CR6Neg	S31
D30_M1234_CD4512_Slamf6_S29	D30	M1234	CD4512	Slamf6	S29
D30_M1234_CD451_CX3CR6Neg_S28	D30	M1234	CD451	CX3CR6Neg	S28
D30_M1234_CD451_Slamf6_S26	D30	M1234	CD451	Slamf6	S26
D30_M567_CD4512_CX3CR6Neg_S24	D30	M567	CD4512	CX3CR6Neg	S24
D30_M567_CD4512_Slamf6_S35	D30	M567	CD4512	Slamf6	S35
D30_M567_CD451_CX3CR6Neg_S34	D30	M567	CD451	CX3CR6Neg	S34
D30_M567_CD451_Slamf6_S32	D30	M567	CD451	Slamf6	S32
