D30_M1234_CD4512_CX3CR6Neg_S31	D30_M1234_CD4512_Slamf6_S29	D30_M567_CD4512_CX3CR6Neg_S24	D30_M567_CD4512_Slamf6_S35
380.03017798115934	362.9749108755707	1065.4060810602068	314.1512765311309
630.1430625594572	388.95183873320343	0.9137273422471757	292.59187520056315
2327.021996800913	1656.906749838195	1636.4856699646916	1875.6679157593994
448.9658846847185	516.0281614962175	94.11391625145909	554.3846056431722
162.61756453147282	160.07404193352053	0	80.07777637068044
243.92634679720925	175.51978282184268	271.37702064741114	195.57456921300798
2.6513733347522743	14.041582625747415	0	18.479486854772407
5.302746669504549	1.4041582625747415	0	0
124.6145467333569	4.914553919011595	0	21.55940133056781
554.1370269632254	523.7510319403787	1.8274546844943513	489.7064016514688
240.3911823508729	101.09939490538139	0	777.6784051383388
1831.2151832022375	1147.8993796548511	1433.6381999858186	974.7929315892445
1.767582223168183	35.10395656436854	0.9137273422471757	4.619871713693102
0	0.7020791312873708	0.9137273422471757	3.0799144757954013
0	0	0	0
3.535164446336366	0	0	0
91.03048449316142	46.33722266496647	296.9613862303321	23.099358568465508
0	15.445740888322158	0	0
4.418955557920458	0	0	3.0799144757954013
0	0.7020791312873708	2.741182026741527	0
13.256866673761373	80.03702096676027	0	4.619871713693102
0	1.4041582625747415	0	0
1023.4301072143779	116.54513579370355	603.0600458831359	166.31538169295166
0	2.808316525149483	0	0
1.767582223168183	0.7020791312873708	0	0
45.07334669078867	329.2751125737769	0	515.8856746957297
15.908240008513648	23.168611332483234	0	0
1.767582223168183	3.5103956564368537	3.6549093689887027	0
67.16812448039096	84.95157488577186	121.52573651887435	97.01730598755515
18.559613343265923	9.82910783802319	0.9137273422471757	0
0	0.7020791312873708	0	3.0799144757954013
0	2.1062373938621124	0.9137273422471757	1.5399572378977007
8.837911115840916	35.80603569565591	0	15.399572378977007
38.88680890970003	34.40187743308117	9.137273422471756	92.39743427386203
0	1.4041582625747415	0	0
163.50135564305694	219.75076809294706	0	227.9136712088597
1.767582223168183	1.4041582625747415	0	3.0799144757954013
55.67884002979776	89.86612880478346	6.396091395730229	29.25918752005631
0	0	0	0
9.721702227425007	14.041582625747415	0	47.73867437482872
6.18653778108864	1.4041582625747415	0.9137273422471757	3.0799144757954013
2.6513733347522743	0	0	0
