gene	D1_D_progenitor	D2_D_progenitor	K1_K_progenitor	K2_K_progenitor	W1_W_progenitor	W2_W_progenitor	D1_D_effector-like	D2_D_effector-like	K1_K_effector-like	K2_K_effector-like	W1_W_effector-like	W2_W_effector-like	D1_D_transitory	D2_D_transitory	K1_K_transitory	K2_K_transitory	W1_W_transitory	W2_W_transitory	D1_D_terminal	D2_D_terminal	K1_K_terminal	K2_K_terminal	W1_W_terminal	W2_W_terminal
Gm26532	5.799041519439975	12.356588856342304	8.610758201202586	28.899346052254693	6.935598552949198	18.84458470848311	7.903371093997114	19.57177490303393	11.021833142306605	32.76120845098001	8.167375439630376	28.614465908196912	0	0	0	0	0	0	0	0	0	0	0	0
D8Ertd738e	363.4066018849051	338.77647781138484	385.7619674138758	375.691498679311	337.53246291019434	318.78755798517267	271.34907422723427	256.0640549813606	260.1152621584359	254.14755646820853	239.9166535391423	250.1721876545216	365.31990199183133	363.86001779428483	344.0628681686596	326.9063402876654	324.3905475117406	353.9641748954255	253.51913541773888	228.66880980932788	273.0625974262254	279.7266088123859	257.734219940693	217.54329665777038
Mri1	108.24877502954621	83.40697478031055	77.49682381082327	81.672064930285	107.50177757071258	87.94139530625452	48.73745507964887	46.48296539470558	48.49606582614906	59.56583354723637	39.81595526819808	33.51980292103067	91.77987685509063	60.086975415569974	57.84245319936886	82.87766373490108	76.82934020014909	74.56605714802112	59.70245851134465	75.08528083291364	69.36670821714597	53.54142121799574	64.2106015077159	62.28803793192571
Ier2	452.3252385163181	408.79714799732454	464.1198670448194	399.5648715050866	472.7766346927037	438.9217855017525	553.235976579798	595.3081533006153	609.5073727695552	662.1735162667777	434.9127421603175	558.3908632942426	475.0958331322339	520.7537869349397	544.5168870147482	551.3666795696892	466.6671034379426	439.31086681183524	332.25716041096155	302.61643487204583	355.6420119704468	319.06316317662765	343.34835528431415	281.69067900557445
Nacc1	44.45931831570648	32.95090361691281	37.88733608529137	33.92531927873377	28.898327303954993	43.18550662360713	0	0	0	0	0	0	30.593292285030213	36.719818309514984	44.87776541330343	35.68343855252685	34.146373422288484	31.443518074466734	31.149108788527645	21.61545963371756	29.7285892359197	40.42923642991515	40.13162594232244	29.74951065405407
Trmt1	69.58849823327971	58.693797067625944	57.69207994805733	41.46427911845238	71.66785171380839	79.30429398153309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gadd45gip1	144.00953106609273	156.51679218033584	119.68953899671594	133.18829050169555	136.40010487466756	129.5565198708214	57.95805468931217	66.05474029773951	59.51789896845566	61.55136133214425	55.12978421750504	58.046487985199455	98.9782985692154	91.24318489030996	87.76096347490447	93.23737170176372	76.82934020014909	88.94023683920591	99.50409751890776	88.73715007526157	93.59000315011758	74.30238046579001	82.04687970430365	66.00672676368247
Rad23a	103.4162404300129	100.91214232679549	105.05125005467154	111.82790428915946	101.72211210992158	95.79330560145581	79.03371093997114	66.87023091869926	63.926632225378306	67.50794468686789	64.31808158708921	58.86404415400508	103.47731214054336	95.69407195812995	93.7446655300116	82.87766373490108	82.52040243719716	97.02571291549735	64.89397664276592	64.84637890115269	47.3455310053536	53.54142121799574	58.85971804873957	58.56934910016895
Calr	601.1673041819441	632.2454631495145	527.8394777337185	575.4739344318543	575.6546798947835	663.4864199445095	300.32810157189033	321.30330465814035	346.0855606684274	290.8798204890043	288.9209061769246	344.1911470671686	521.8855742740448	560.8117705453197	477.6988807327187	481.15088112762015	512.1956013343273	610.9026368753537	427.43499282035157	447.0987176868948	401.88648411521075	421.7752773499256	437.88062972622924	477.8515148807435
Farsa	69.58849823327971	76.19896461411088	77.49682381082327	66.59414525084777	83.22718263539038	69.09681059777141	40.83408398565176	48.11394663662507	42.985149254995754	44.67437516042728	27.56489210875252	35.15491525864192	63.88599271285721	79.00324545380496	49.86418379255936	51.798539834313175	43.631477150701954	56.598332534040125	57.97195246753756	52.33216542900041	51.74976644771207	40.42923642991515	39.23981203249305	48.34295481283787
Dnase2a	32.86123527682653	21.624030498599033	26.693350423728017	31.41233266549423	27.742394211796793	36.11878735792597	0	0	0	0	0	0	31.493094999295806	20.028991805189992	34.904928654791554	36.83451721551159	35.09488379512983	24.256428228874338	27.688096700913462	42.09326349723946	33.03176581768856	33.87314403587486	36.564370303004885	26.030821822297312
Rnaseh2a	54.124387514773105	41.18862952114101	41.33163936577241	26.386359439015155	35.833925856904195	50.2522258892883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prdx2	404.9663994408916	372.75709716632616	385.7619674138758	358.1005923866342	254.30528027480395	310.93564768997135	155.4329648486099	118.24614003916332	150.99911404960048	136.00865326618973	121.48970966450185	111.18763895756514	259.1431817084912	263.71505876833487	259.2937557213087	253.2373058566422	260.84035253137034	224.59655767476238	176.51161646832333	172.92367706974048	180.57365313669743	168.2730381137009	137.33934211372568	166.41132522111496
Junb	2515.817512517043	2408.505111248721	3153.259653280387	3420.174780619012	2679.452907622707	2640.597432276196	1451.5858242641366	1170.229041077237	1257.5911615371836	1292.5785879750292	972.9385992459686	1195.2671187938254	1138.250433545977	1120.5108193236845	1469.99613820465	1136.1146403659357	972.2231321623805	992.7167849224497	1737.4280679823196	1457.337041620642	1752.8857060586727	1480.5841989874332	1588.3205734061391	1223.4486256479736
Asna1	49.291852915239794	32.95090361691281	37.02626026517112	32.668825972114	32.366126580429594	34.548405298885704	0	0	0	0	0	0	45.88993842754532	45.62159244515498	31.913077627237993	23.021573259694744	32.24935267660579	35.93544922796198	0	0	0	0	0	0
2310036O22Rik	430.0955793584649	413.9457266874672	454.6480330234965	436.0031773970599	406.88844843968633	405.943762261907	297.69364454055795	278.89779236823347	249.09342901612925	299.81469552108973	241.9584973990499	255.89508083616096	401.31201056245516	415.0452190742148	398.9134703404749	406.33076803361223	329.1330993759473	340.4883814349398	324.46988321382963	302.61643487204583	312.70071640745164	331.08266589903485	260.40966167018115	285.4093678373312
Tnpo2	32.86123527682653	25.742893450713133	24.971198783487498	25.129866132395385	31.210193488271393	25.91130397416428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
